Date,Open,High,Low,Close,Adj Close,Volume,ma5,ma20,ema5,ema20,rsi6,rsi12,rsi24,mom6,mom12,mom24,roc,willr,trange
2010/4/5,17.959999,18.16,17.02,17.02,17.02,0,17.3599996,17.49249995,17.32888684,17.82421395,40.60719354,41.40820008,42.94399971,-1.38,0.11,-2.24,-2.575838728,-66.26985465,1.14
2010/4/6,17.389999,17.540001,16.08,16.23,16.23,0,17.0879996,17.4144999,16.96259123,17.67238405,29.99380752,36.29593403,40.75084446,-1.54,-0.390001,-2.829999,-4.64159812,-94.25287577,1.460001
2010/4/7,16.719999,17.209999,16.16,16.620001,16.620001,0,16.986,17.34949995,16.84839448,17.5721571,39.37995015,40.2675274,42.26961912,-0.969999,-0.349998,-2.209999,2.402963648,-79.31031444,1.049999
2010/4/8,17.209999,17.799999,16.299999,16.48,16.48,0,16.764,17.24499995,16.72559632,17.46814213,37.2297098,39.30783786,41.86760792,-0.649999,-0.390001,-2.239999,-0.84236457,-84.67433537,1.5
2010/4/9,16.32,16.65,16.059999,16.139999,16.139999,0,16.498,17.14899995,16.53039721,17.34165231,32.1187671,36.97329643,40.88228755,-1.450001,-0.210001,-1.280001,-2.063112864,-96.95817722,0.590001
2010/4/12,15.67,16,15.23,15.58,15.58,0,16.21,17.04899995,16.21359814,17.1738759,25.26388734,33.40820117,39.29299125,-1.889999,-1.969999,-2.210001,-3.469634664,-89.88439599,0.909999
2010/4/13,15.98,16.77,15.81,16.200001,16.200001,0,16.2040002,16.959,16.20906576,17.08112591,41.77383055,40.3545127,41.90225225,-0.819999,-2.199999,-1.719999,3.979467266,-71.96529712,1.19
2010/4/14,15.8,16.379999,15.55,15.59,15.59,0,15.998,16.85399995,16.00271051,16.93911392,33.1323727,36.29135724,40.13139127,-0.64,-2.18,-2.98,-3.765438039,-89.59537873,0.829999
2010/4/15,15.87,16.5,15.68,15.89,15.89,0,15.88,16.80299995,15.96514034,16.83919831,40.40758475,39.55648595,41.40226398,-0.730001,-1.7,-2.169999,1.924310455,-80.924861,0.91
2010/4/16,16.190001,19.700001,16.110001,18.360001,18.360001,0,16.3240004,16.88999995,16.76342723,16.98403666,71.28002371,58.60960133,50.44059511,1.880001,1.230002,0.780001,15.54437382,-29.97762193,3.810001
2010/4/19,19.139999,19.549999,17.34,17.34,17.34,0,16.6760004,16.9085,16.95561815,17.01793793,56.71896468,51.32159904,47.29699134,1.200001,-0.25,-0.66,-5.5555607,-52.79643114,2.209999
2010/4/20,16.84,16.889999,15.73,15.73,15.73,0,16.5820002,16.85149995,16.54707877,16.89527717,40.8953531,42.27067782,42.89395404,0.15,-1.739999,-1.960001,-9.284890427,-88.81432018,1.61
2010/4/21,15.94,16.85,15.5,16.32,16.32,0,16.7280002,16.84999995,16.47138584,16.84048887,47.3541131,46.0727109,44.85694899,0.119999,-0.7,-0.59,3.75079466,-75.61521798,1.35
2010/4/22,17.48,18.190001,16.200001,16.469999,16.469999,0,16.844,16.79599995,16.47092356,16.80520412,49.05261871,47.0400788,45.35526538,0.879999,0.239999,-0.150002,0.91911152,-72.25953641,1.99
2010/4/23,16.620001,16.709999,16.120001,16.620001,16.620001,0,16.496,16.707,16.52061604,16.78756573,50.9515858,48.05658684,45.86574526,0.730001,0,-0.349998,0.910759011,-68.90378772,0.589998
2010/4/26,17.52,17.530001,17.07,17.469999,17.469999,0,16.5219998,16.69199995,16.83707703,16.85255937,60.86936746,53.56604147,48.69946235,-0.890002,0.989999,0.599998,5.114307755,-49.88817676,0.91
2010/4/27,18.129999,23.200001,17.940001,22.809999,22.809999,0,17.9379996,16.9529999,18.82805102,17.41993458,84.49893361,73.11178026,61.80596068,5.469999,6.67,6.459999,30.5666875,-4.893374543,5.730002
2010/4/28,22.08,23.030001,20.860001,21.08,21.08,0,18.8899996,17.15049995,19.57870068,17.76851224,68.4334694,63.64364256,56.89228865,5.35,5.5,3.530001,-7.584388759,-26.59975827,2.17
2010/4/29,20.370001,20.370001,18.440001,18.440001,18.440001,0,19.284,17.193,19.19913412,17.83246355,50.76057326,52.35628035,50.49931901,2.120001,2.24,0.040001,-12.52371442,-59.72395737,2.639999
